Common Name,Scientific Name
Ostrich,Struthio camelus
Helmeted Guineafowl,Numida meleagris
Crested Guineafowl,Guttera pucherani
Vulturine Guineafowl,Acryllium vulturinum
Stone Partridge,Ptilopachus petrosus
Coqui Francolin,Francolinus coqui
Ring-necked Francolin,Francolinus streptophorus
Red-winged Francolin,Francolinus levaillantii
Shelley's Francolin,Francolinus shelleyi
Moorland Francolin,Francolinus psilolaemus
Orange River Francolin,Francolinus levaillantoides
Crested Francolin,Francolinus sephaena
Scaly Francolin,Francolinus squamatus
Hildebrandt's Francolin,Francolinus hildebrandti
Jackson's Francolin,Francolinus jacksoni
Chestnut-naped Francolin,Francolinus castaneicollis
Red-necked Spurfowl,Francolinus afer
Yellow-necked Spurfowl,Francolinus leucoscepus
Common Quail,Coturnix coturnix
Harlequin Quail,Coturnix delegorguei
Blue Quail,Coturnix adansonii
White-faced Whistling Duck,Dendrocygna viduata
Fulvous Whistling Duck,Dendrocygna bicolor
White-backed Duck,Thalassornis leuconotus
Spur-winged Goose,Plectropterus gambensis
Knob-billed Duck,Sarkidiornis melanotos
Egyptian Goose,Alopochen aegyptiaca
African Pygmy Goose,Nettapus auritus
Cape Teal,Anas capensis
Gadwall,Anas strepera
Eurasian Wigeon,Anas penelope
African Black Duck,Anas sparsa
Mallard,Anas platyrhynchos
Yellow-billed Duck,Anas undulata
Northern Shoveler,Anas clypeata
Red-billed Teal,Anas erythrorhyncha
Northern Pintail,Anas acuta
Garganey,Anas querquedula
Eurasian Teal,Anas crecca
Hottentot Teal,Anas hottentota
Southern Pochard,Netta erythrophthalma
Common Pochard,Aythya ferina
Ferruginous Duck,Aythya nyroca
Tufted Duck,Aythya fuligula
Maccoa Duck,Oxyura maccoa
Black-browed Albatross,Thalassarche melanophrys
Shy Albatross,Thalassarche cauta
Cape Petrel,Daption capense
Antarctic Prion,Pachyptila desolata
Slender-billed Prion,Pachyptila belcheri
White-chinned Petrel,Procellaria aequinoctialis
Wedge-tailed Shearwater,Puffinus pacificus
Audubon's Shearwater,Puffinus lherminieri
Sooty Shearwater,Puffinus griseus
Jouanin's Petrel,Bulweria fallax
Wilson's Storm-petrel,Oceanites oceanicus
Black-bellied Storm-petrel,Fregetta tropica
Leach's Storm-petrel,Oceanodroma leucorhoa
Matsudaira's Storm-petrel,Oceanodroma matsudairae
Little Grebe,Tachybaptus ruficollis
Great Crested Grebe,Podiceps cristatus
Black-necked Grebe,Podiceps nigricollis
Greater Flamingo,Phoenicopterus roseus
Lesser Flamingo,Phoeniconaias minor
Yellow-billed Stork,Mycteria ibis
African Open-billed Stork,Anastomus lamelligerus
Black Stork,Ciconia nigra
Abdim's Stork,Ciconia abdimii
Woolly-necked Stork,Ciconia episcopus
White Stork,Ciconia ciconia
Saddle-billed Stork,Ephippiorhynchus senegalensis
Marabou Stork,Leptoptilos crumeniferus
Sacred Ibis,Threskiornis aethiopicus
Olive Ibis,Bostrychia olivacea
Hadada Ibis,Bostrychia hagedash
Glossy Ibis,Plegadis falcinellus
Eurasian Spoonbill,Platalea leucorodia
African Spoonbill,Platalea alba
Little Bittern,Ixobrychus minutus
Dwarf Bittern,Ixobrychus sturmii
White-backed Night Heron,Gorsachius leuconotus
Black-crowned Night Heron,Nycticorax nycticorax
Striated Heron,Butorides striata
Squacco Heron,Ardeola ralloides
Madagascar Pond Heron,Ardeola idae
Rufous-bellied Heron,Ardeola rufiventris
Cattle Egret,Bubulcus ibis
Grey Heron,Ardea cinerea
Black-headed Heron,Ardea melanocephala
Goliath Heron,Ardea goliath
Purple Heron,Ardea purpurea
Great White Egret,Ardea alba
Yellow-billed Egret,Egretta intermedia
