,Date,Point Count,Common Name,Scientific Name,Cues (H=head/s= seen)
0,2017-11-18,1,Brown Woodland Warbler,Phylloscopus umbrovirens,H
1,2017-11-18,1,Brown Woodland Warbler,Phylloscopus umbrovirens,H
2,2017-11-18,1,Chin-spot Batis,Batis molitor,H
3,2017-11-18,1,Chestnut-throated Apalis,Apalis porphyrolaema,H
4,2017-11-18,1,Brown Woodland Warbler,Phylloscopus umbrovirens,H
5,2017-11-18,1,Red-fronted Parrot,Poicephalus gulielmi,H
6,2017-11-18,2,Montane White-eye,Zosterops poliogastrus,H
7,2017-11-18,2,Brown Woodland Warbler,Phylloscopus umbrovirens,H
8,2017-11-18,2,Cinnamon Bracken Warbler,Bradypterus cinnamomeus,H
9,2017-11-18,2,Montane White-eye,Zosterops poliogastrus,S
10,2017-11-18,2,Common Bulbul,Pycnonotus barbatus,H
11,2017-11-18,2,White-starred Robin,Pogonocichla stellata,H
12,2017-11-18,3,Brown Woodland Warbler,Phylloscopus umbrovirens,H
13,2017-11-18,3,Montane White-eye,Zosterops poliogastrus,H
14,2017-11-18,3,Variable Sunbird,Cinnyris venustus,H
15,2017-11-18,4,Brown Woodland Warbler,Phylloscopus umbrovirens,H
16,2017-11-18,4,Chestnut-throated Apalis,Apalis porphyrolaema,H
17,2017-11-18,4,Crowned Eagle,Stephanoaetus coronatus,H
18,2017-11-18,4,Montane White-eye,Zosterops poliogastrus,H
19,2017-11-18,4,Chestnut-throated Apalis,Apalis porphyrolaema,H
20,2017-11-18,5,Brown Woodland Warbler,Phylloscopus umbrovirens,H
21,2017-11-18,5,Chestnut-throated Apalis,Apalis porphyrolaema,H
22,2017-11-18,5,Cinnamon Bracken Warbler,Bradypterus cinnamomeus,H
23,2017-11-18,5,Cinnamon Bracken Warbler,Bradypterus cinnamomeus,S
24,2017-11-18,5,Brown Woodland Warbler,Phylloscopus umbrovirens,H
25,2017-11-18,5,White-starred Robin,Pogonocichla stellata,H
