,ebird code,Scientific Name,Common Name
0,ostric2,Struthio camelus,Ostrich
1,helgui,Numida meleagris,Helmeted Guineafowl
2,cregui3,Guttera pucherani,Crested Guineafowl
3,vulgui1,Acryllium vulturinum,Vulturine Guineafowl
4,stopar1,Ptilopachus petrosus,Stone Partridge
5,coqfra2,Francolinus coqui,Coqui Francolin
6,rinfra2,Francolinus streptophorus,Ring-necked Francolin
7,rewfra2,Francolinus levaillantii,Red-winged Francolin
8,shefra1,Francolinus shelleyi,Shelley's Francolin
9,moofra2,Francolinus psilolaemus,Moorland Francolin
10,orrfra2,Francolinus levaillantoides,Orange River Francolin
11,crefra2,Francolinus sephaena,Crested Francolin
12,renfra1,Francolinus afer,Red-necked Spurfowl
13,yenspu1,Francolinus leucoscepus,Yellow-necked Spurfowl
14,comqua1,Coturnix coturnix,Common Quail
15,harqua1,Coturnix delegorguei,Harlequin Quail
16,bluqua1,Coturnix adansonii,Blue Quail
17,wfwduc1,Dendrocygna viduata,White-faced Whistling Duck
18,fuwduc,Dendrocygna bicolor,Fulvous Whistling Duck
19,whbduc1,Thalassornis leuconotus,White-backed Duck
20,spwgoo1,Plectropterus gambensis,Spur-winged Goose
21,comduc2,Sarkidiornis melanotos,Knob-billed Duck
22,egygoo,Alopochen aegyptiaca,Egyptian Goose
23,afrpyg1,Nettapus auritus,African Pygmy Goose
24,captea1,Anas capensis,Cape Teal
25,gadwal,Anas strepera,Gadwall
26,eurwig,Anas penelope,Eurasian Wigeon
27,afbduc1,Anas sparsa,African Black Duck
28,mallar3,Anas platyrhynchos,Mallard
29,yebduc1,Anas undulata,Yellow-billed Duck
30,norsho,Anas clypeata,Northern Shoveler
31,rebduc1,Anas erythrorhyncha,Red-billed Teal
32,norpin,Anas acuta,Northern Pintail
33,gargan,Anas querquedula,Garganey
34,gnwtea,Anas crecca,Eurasian Teal
35,soupoc1,Netta erythrophthalma,Southern Pochard
36,compoc,Aythya ferina,Common Pochard
37,ferduc,Aythya nyroca,Ferruginous Duck
38,tufduc,Aythya fuligula,Tufted Duck
39,macduc1,Oxyura maccoa,Maccoa Duck
40,bkbalb,Thalassarche melanophrys,Black-browed Albatross
41,whcalb1,Thalassarche cauta,Shy Albatross
42,cappet,Daption capense,Cape Petrel
43,dovpri1,Pachyptila desolata,Antarctic Prion
44,slbpri1,Pachyptila belcheri,Slender-billed Prion
45,whcpet1,Procellaria aequinoctialis,White-chinned Petrel
46,wetshe,Puffinus pacificus,Wedge-tailed Shearwater
47,audshe,Puffinus lherminieri,Audubon's Shearwater
48,sooshe,Puffinus griseus,Sooty Shearwater
49,joupet,Bulweria fallax,Jouanin's Petrel
50,wispet,Oceanites oceanicus,Wilson's Storm-petrel
