OS-C,Br.,Cat,English name,Scientific name,Dist,Category
63,52,FF,African Green Ibis,Bostrychia olivacea,K,Threskiornithidae: Ibises and spoonbills														
64,,F,Spot-breasted  Ibis,Bostrychia  rara,U,Threskiornithidae: Ibises and spoonbills														
75,,F,Hartlaub's Duck,Pteronetta hartlaubi,U,Anatidae: Ducks and geese
97,139,F,African Cuckoo-Hawk,Aviceda cuculoides,KU,"Accipitridae: Vultures,  eagles, hawks etc."
98,140,F,Eurasian Honey Buzzard,Pernis apivorus,KU,"Accipitridae: Vultures,  eagles, hawks etc."
99,143,F,Bat Hawk,Macheiramphus alcinus,KU,"Accipitridae: Vultures,  eagles, hawks etc."
105,87,f,Hooded Vulture,Necrosyrtes monachus,KU,"Accipitridae: Vultures,  eagles, hawks etc."
113,99,F,Southern Banded Snake Eagle,Circaetus fasciolatus,K,"Accipitridae: Vultures,  eagles, hawks etc."
114,97,F,Banded Snake Eagle,Circaetus cinerascens,KU,"Accipitridae: Vultures,  eagles, hawks etc."
117,96,f,African Harrier-Hawk,Polyboroides typus,KU,"Accipitridae: Vultures,  eagles, hawks etc."
125,111,F,African Goshawk,Accipiter tachiro,KU,"Accipitridae: Vultures,  eagles, hawks etc."
126,104,FF,Chestnut-flanked Goshawk,Accipiter castanilius,U,"Accipitridae: Vultures,  eagles, hawks etc."
127,102,f,Shikra,Accipiter badius,KU,"Accipitridae: Vultures,  eagles, hawks etc."
130,105,FF,(Western) Little Sparrowhawk,Accipiter minullus erythropus,U,"Accipitridae: Vultures,  eagles, hawks etc."
130,107,f,Little Sparrowhawk,A. m. minullus/A. m. tropicalis,KU,"Accipitridae: Vultures,  eagles, hawks etc."
133,110,F,Rufous-breasted Sparrowhawk,Accipiter rufiventris,KU,"Accipitridae: Vultures,  eagles, hawks etc."
134,106,F,Great Sparrowhawk,Accipiter melanoleucus,KU,"Accipitridae: Vultures,  eagles, hawks etc."
135,136,FF,Long-tailed  Hawk,Urotriorchis macrourus,U,"Accipitridae: Vultures,  eagles, hawks etc."
137,129,f,Lizard Buzzard,Kaupifalco monogrammicus,KU,"Accipitridae: Vultures,  eagles, hawks etc."
139,124,FF,Mountain Buzzard,Buteo oreophilus,KU,"Accipitridae: Vultures,  eagles, hawks etc."
154,126,F,Ayres's Hawk Eagle,Hieraaeius ayresii,KU,"Accipitridae: Vultures,  eagles, hawks etc."
155,130,f,Long-crested  Eagle,Lophaetus occipitalis,KU,"Accipitridae: Vultures,  eagles, hawks etc."
156,125,FF,Cassin's Hawk Eagle,Spizaetus africanus,U,"Accipitridae: Vultures,  eagles, hawks etc."
157,135,FF,African Crowned Eagle,Stephanoaetus  coronatus,KU,"Accipitridae: Vultures,  eagles, hawks etc."
166,152,F,African Hobby ,Falco cuvieri,KU,Falconidae: Falcons
184,174,FF,Forest Francolin,Francolinus lathami,U,Phasianidae: Quails and francolins
191,178,FF,Nahan's Francolin,Francolinus nahani,U,Phasianidae: Quails and francolins
195,184,F,Scaly Francolin,Francolinus squamatus,KU,Phasianidae: Quails and francolins
196,173,F,Jackson's Francolin,Francolinus jacksoni,KU,Phasianidae: Quails and francolins
197,179,FF,Handsome Francolin ,Francolinus nobilis,U,Phasianidae: Quails and francolins
202,21,F,Crested Guineafowl  ,Guttera pucherani,KU,Numididae: Guineafowl
208,213,F,White-spotted  Flufftail,Sarothrura pulchra,KU,Rallidae: Rails and relatives
209,211,FF,Buff-spotted  Flufftail,Sarothrura elegans,KU,Rallidae: Rails and relatives
214,200,FF,Nkulengu Rail,Himantomis haematopus,U,Rallidae: Rails and relatives
354,357,F,African Green Pigeon ,Treron calva,KU,Columbidae: Pigeons and doves
357,357,F,Tambourine Dove,Turtur tympanistria,KU,Columbidae: Pigeons and doves
358,355,f,Blue-spotted Wood Dove,Turtur afer,KU,Columbidae: Pigeons and doves
359,356,f,Emerald-spotted Wood Dove,Turtur chalcospilos,KU,Columbidae: Pigeons and doves
362,338,FF,White-naped Pigeon,Columba albinucha,U,Columbidae: Pigeons and doves
363,343,FF,Western Bronze-naped Pigeon,Columba iriditorques,U,Columbidae: Pigeons and doves
364,340,FF,Eastern Bronze-naped Pigeon,Columba delegorguei,KU,Columbidae: Pigeons and doves
