Filename,Foreground Species,Background Species,Remarks
MKNP-1-2017-11-20-07-15-12.mp3,White-starred Robin,Olive Sunbird,
MKNP-1-2017-11-20-08-45-12.mp3,White-starred Robin;Brown Woodland Warbler,,
MKNP-1-2017-11-20-09-30-12.mp3,Cinnamon Bracken Warbler,,
MKNP-1-2017-11-20-10-45-12.mp3,,Brown Woodland Warbler,
MKNP-1-2017-11-21-07-10-13.mp3,,Brown Woodland Warbler,
MKNP-1-2017-11-21-07-55-13.mp3,Mountain Yellow Warbler;Chestnut-throated Apalis;Montane White-eye,Eastern Double-collared Sunbird;Grey Apalis,
MKNP-1-2017-11-22-06-30-13.mp3,Brown Woodland Warbler;Brown Woodland Warbler,,
MKNP-1-2017-11-22-09-05-14.mp3,,Brown Woodland Warbler,
MKNP-1-2017-11-22-09-15-14.mp3,Brown Woodland Warbler,,
MKNP-1-2017-11-23-08-05-14.mp3,,White-starred Robin,
MKNP-1-2017-11-23-10-10-14.mp3,Brown Woodland Warbler,,
MKNP-1-2017-11-24-08-45-14.mp3,Brown Woodland Warbler,Cinnamon Bracken Warbler,
MKNP-1-2017-11-24-10-45-14.mp3,Chestnut-throated Apalis,Brown Woodland Warbler,
MKNP-1-2017-11-25-08-45-15.mp3,Brown Woodland Warbler,Grey-backed Camaroptera;Montane White-eye,
MKNP-1-2017-11-25-09-15-15.mp3,Chestnut-throated Apalis,,
MKNP-1-2017-11-25-10-05-19.mp3,Brown Woodland Warbler,Montane White-eye;Chestnut-throated Apalis,
MKNP-1-2017-11-25-10-10-19.mp3,,Chestnut-throated Apalis,
MKNP-1-2017-11-26-07-20-45.mp3,Brown Woodland Warbler,Montane White-eye;White-starred Robin,
MKNP-1-2017-11-26-08-00-53.mp3,Brown Woodland Warbler,Brown Woodland Warbler;Chestnut-throated Apalis,
MKNP-1-2017-11-26-08-35-55.mp3,,Brown Woodland Warbler,
MKNP-1-2017-11-26-10-21-06.mp3,Brown Woodland Warbler,Grey-backed Camaroptera,
MKNP-1-2017-11-27-08-56-14.mp3,Brown Woodland Warbler;Grey Apalis,,
MKNP-1-2017-11-27-10-51-37.mp3,,Crowned Eagle,
MKNP-1-2017-11-28-07-11-18.mp3,Common Bulbul;Mountain Yellow Warbler,,
MKNP-1-2017-11-28-09-11-42.mp3,,,
MKNP-1-2017-11-29-07-35-48.mp3,,Brown Woodland Warbler,
MKNP-1-2017-11-29-09-51-15.mp3,Brown Woodland Warbler,Montane White-eye,
MKNP-1-2017-11-30-06-51-05.mp3,Brown Woodland Warbler;Cinnamon Bracken Warbler,,MW-e is very faint
MKNP-1-2017-11-30-10-01-43.mp3,,Brown Woodland Warbler,
MKNP-1-2017-11-30-10-36-50.mp3,,Collared Sunbird;Montane White-eye,
MKNP-1-2017-12-01-07-55-42.mp3,,Chestnut-throated Apalis;Brown Woodland Warbler;Cabanis's Greenbul,
MKNP-1-2017-12-01-09-36-02.mp3,,Brown Woodland Warbler,
MKNP-1-2017-12-02-06-50-54.mp3,,Montane White-eye,
MKNP-1-2017-12-02-10-01-32.mp3,Mountain Yellow Warbler,,
MKNP-1-2017-12-02-10-31-38.mp3,Montane White-eye;Grey Apalis,Montane White-eye,
MKNP-1-2017-12-03-09-00-45.mp3,Brown Woodland Warbler,,
MKNP-1-2017-12-04-06-35-41.mp3,Brown Woodland Warbler;Montane Oriole,Grey Apalis,
MKNP-1-2017-12-04-06-55-45.mp3,Cinnamon Bracken Warbler;Brown Woodland Warbler,,
MKNP-1-2017-12-04-07-30-52.mp3,Brown Woodland Warbler,Crowned Eagle;Chestnut-throated Apalis,
MKNP-1-2017-12-04-08-56-09.mp3,,White-starred Robin;Cinnamon Bracken Warbler;Brown Woodland Warbler,
MKNP-1-2017-12-04-09-36-17.mp3,,Chestnut-throated Apalis,
MKNP-1-2017-12-04-10-26-27.mp3,,Brown Woodland Warbler;Montane White-eye,
MKNP-1-2017-12-04-10-56-33.mp3,Montane White-eye;Brown Woodland Warbler,Chestnut-throated Apalis,
MKNP-1-2017-12-05-06-41-07.mp3,Brown Woodland Warbler,Chestnut-throated Apalis,
MKNP-1-2017-12-05-08-51-33.mp3,Brown Woodland Warbler,Brown Woodland Warbler,
MKNP-1-2017-12-05-09-11-37.mp3,Brown Woodland Warbler,,
MKNP-1-2017-12-05-09-21-39.mp3,,Brown Woodland Warbler;Mountain Yellow Warbler;Chestnut-throated Apalis,
MKNP-1-2017-12-05-09-51-45.mp3,,,
MKNP-1-2017-12-05-10-46-56.mp3,,,
MKNP-1-2017-12-06-08-15-50.mp3,Grey Apalis;Brown Woodland Warbler;Mountain Yellow Warbler,,
MKNP-2-2017-11-20-07-45-35.mp3,,Grey Apalis,
MKNP-2-2017-11-20-07-50-35.mp3,,Grey Apalis,
MKNP-2-2017-11-20-08-10-35.mp3,Grey Apalis,Brown Woodland Warbler,
MKNP-2-2017-11-20-08-15-35.mp3,Brown Woodland Warbler,,
MKNP-2-2017-11-20-09-05-35.mp3,,Brown Woodland Warbler,very faint
MKNP-2-2017-11-20-09-20-35.mp3,,,
MKNP-2-2017-11-20-09-45-35.mp3,,,
MKNP-2-2017-11-20-10-05-35.mp3,,,
MKNP-2-2017-11-21-07-30-35.mp3,,,
MKNP-2-2017-11-21-07-40-35.mp3,Brown Woodland Warbler;Grey Apalis,,
MKNP-2-2017-11-21-07-55-35.mp3,,,
MKNP-2-2017-11-21-09-40-35.mp3,Brown Woodland Warbler,Chestnut-throated Apalis,C-tA very faint 
MKNP-2-2017-11-21-10-05-35.mp3,Montane White-eye,,
MKNP-2-2017-11-21-10-55-35.mp3,,,
MKNP-2-2017-11-22-07-50-35.mp3,,,
MKNP-2-2017-11-22-08-35-35.mp3,,Brown Woodland Warbler,very faint
MKNP-2-2017-11-22-08-40-35.mp3,,,
MKNP-2-2017-11-22-08-55-35.mp3,Brown Woodland Warbler,,
MKNP-2-2017-11-22-10-00-35.mp3,,Montane White-eye,
MKNP-2-2017-11-22-10-45-35.mp3,,,
MKNP-2-2017-11-22-10-50-35.mp3,,,
MKNP-2-2017-11-23-06-55-35.mp3,White-starred Robin;Cinnamon Bracken Warbler,,
MKNP-2-2017-11-23-07-20-35.mp3,Olive Sunbird,,
