,2017-11-18-01,2017-11-18-02,2017-11-18-03,2017-11-18-04,2017-11-18-05,2017-11-18-06,2017-11-18-07,2017-11-18-08,2017-11-18-09,2017-11-18-10,2017-11-19-01,2017-11-19-02,2017-11-19-03,2017-11-19-04,2017-11-19-05,2017-11-19-06,2017-11-19-07,2017-11-19-08,2017-11-19-09,2017-11-19-10,2017-12-23-01,2017-12-23-02,2017-12-23-03,2017-12-23-04,2017-12-23-05,2017-12-23-06,2017-12-23-07,2017-12-23-08,2017-12-23-09,2017-12-23-10,2018-06-16-01,2018-06-16-02,2018-06-16-03,2018-06-16-04,2018-06-16-05,2018-06-16-06,2018-06-16-07,2018-06-16-08,2018-06-16-09,2018-06-16-10,2018-06-17-01,2018-06-17-02,2018-06-17-03,2018-06-17-04,2018-06-17-05,2018-06-17-06,2018-06-17-07,2018-06-17-08,2018-06-17-09,2018-06-17-10,2018-07-27-01,2018-07-27-02,2018-07-27-03,2018-07-27-04,2018-07-27-05,2018-07-27-06,2018-07-27-07,2018-07-27-08,2018-07-27-09,2018-07-27-10
Abyssinian Ground Thrush,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
African Black Duck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
African Dusky Flycatcher,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
African Goshawk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
African Hill Babbler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
African Olive Pigeon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bar-tailed Trogon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Cuckooshrike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Black Saw-wing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Brown Woodland Warbler,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
